Duration,Pulse
60,110
60,117
60,103
45,109
45,117
60,102
60,110
45,104
30,109
60,98
60,103
60,100
60,106
60,104
60,98
60,98
60,100
45,90
60,103
45,97
60,108
45,100
60,130
45,105
60,102
60,100
60,92
60,103
60,100
60,102
60,92
45,90
60,101
60,93
60,107
60,114
60,102
60,100
60,100
45,104
45,90
60,98
60,100
60,111
60,111
60,99
60,109
45,111
45,108
60,111
60,107
80,123
60,106
60,118
30,136
60,121
60,118
45,115
20,153
45,123
210,108
160,110
160,109
45,118
20,110
180,90
150,105
150,107
20,106
300,108
150,97
60,109
90,100
150,97
45,114
90,98
45,105
45,110
120,100
270,100
30,159
45,149
30,103
120,100
45,100
30,151
45,102
120,100
45,129
20,83
180,101
45,107
30,90
15,80
20,150
20,151
30,95
25,152
30,109
90,93
20,95
90,90
90,90
90,90
30,92
30,93
180,90
30,90
90,90
210,137
60,102
45,107
15,124
45,100
60,108
60,108
60,116
60,97
60,105
60,103
30,112
45,100
60,119
60,107
60,111
60,98
60,97
60,109
90,99
60,114
60,104
60,107
60,103
60,106
60,103
20,136
45,117
45,115
45,113
20,141
60,108
60,97
45,100
45,122
60,136
45,106
60,107
60,112
30,103
60,110
60,106
60,109
60,109
30,150
60,105
60,111
60,97
60,100
60,114
30,80
30,85
45,90
45,95
45,100
60,105
60,110
60,115
75,120
75,125
